n=10; dly=20; Time=37.192416191101074
n=100; dly=200; Time=247.79664039611816
n=100; dly=200; Time=254.30905103683472
n=100; dly=150; Time=172.29535818099976
n=100; dly=150; Time=170.8651304244995
n=100; dly=125; Time=145.66510915756226
n=100; dly=125; Time=147.31006860733032
n=100; dly=100; Time=121.23262882232666
n=100; dly=100; Time=120.8386492729187
n=100; dly=80; Time=96.24646186828613
n=100; dly=80; Time=95.66365957260132
n=100; dly=50; Time=69.6479606628418
n=100; dly=50; Time=69.79170083999634
n=100; dly=30; Time=44.75130796432495
n=100; dly=30; Time=45.50159215927124
n=100; dly=20; Time=35.71246147155762
n=100; dly=20; Time=38.94700050354004
n=100; dly=20; Time=36.2427020072937
n=100; dly=15; Time=27.25985050201416
n=100; dly=15; Time=27.49300241470337
n=100; dly=10; Time=27.53653049468994
n=100; dly=10; Time=26.156418323516846
n=100; dly=5; Time=18.359439373016357
n=100; dly=5; Time=19.12745952606201
n=100; dly=5; Time=18.66276741027832
n=100; dly=1; Time=17.993669509887695
n=100; dly=1; Time=17.74622917175293
n=100; dly=1; Time=19.24631118774414
n=100; dly=0; Time=17.801640033721924
n=100; dly=0; Time=20.27735948562622
n=100; dly=10; Time=31.73959970474243
n=100; dly=5; Time=18.040637969970703
